Q,A
담배 끊으신지 두 달 정도 되셨죠 대단하시네요,가뜩이나 늙은 아빠인데 건강관리라도 해야지
가뜩이나 늙은 아빠인데 건강관리라도 해야지,하긴 앞으로 돈 빡시게 버셔야될 텐데
하긴 앞으로 돈 빡시게 버셔야될 텐데,맞아요 애 태어나면 돈 쓸일 장난 아니에요 다달이 분유에 기저귀 값만해도 얼만데요?
맞아요 애 태어나면 돈 쓸일 장난 아니에요 다달이 분유에 기저귀 값만해도 얼만데요?,그거 얼마 안 하던데? 분유 비싸봤자 5만원 기저귀 3만원대 한달에 10만원이면 퉁치겠더만
그거 얼마 안 하던데? 분유 비싸봤자 5만원 기저귀 3만원대 한달에 10만원이면 퉁치겠더만,"한달에 분유 한통, 기저귀 한팩 쓰는줄 아세요? 분유는 일주일에 한통, 기저귀는 하루에 열번도 넘게 갈아요 50은 기본으로 깨질걸요"
"한달에 분유 한통, 기저귀 한팩 쓰는줄 아세요? 분유는 일주일에 한통, 기저귀는 하루에 열번도 넘게 갈아요 50은 기본으로 깨질걸요",뭐?
뭐?,50이 뭐에요 요즘엔 돈 백 우습게 깨질걸요
50이 뭐에요 요즘엔 돈 백 우습게 깨질걸요,백만원? 
"근데 성별을 영 안알려주네요. 보일 만하면 뒤돌고, 보일 만하면 탯줄같은데 가리고.",그러게요. 그런경우가 종종 있어요. 자. 좀만 돌아볼래.
그러게요. 그런경우가 종종 있어요. 자. 좀만 돌아볼래.,그래. 엄마아빠 궁금해 죽겠으니까 여기좀 봐바. 꿀벌아!
어머 수민씨. 수민씨가 왜 이자리에 앉아? 이자리 아까 내가 찜했거든. 자기 여기 앉아.,싫은데? 전 벌써 짐정리 다 끝냈는데요?
싫은데? 전 벌써 짐정리 다 끝냈는데요?,그러네. 라부장이 그자리에 앉아.
그러네. 라부장이 그자리에 앉아.,미쳤어요? 사장실에서 바로 보이는 자리에 앉게? 맨날 조사장이 일거수 일투족 감시할거 아니에요.
미쳤어요? 사장실에서 바로 보이는 자리에 앉게? 맨날 조사장이 일거수 일투족 감시할거 아니에요.,아유 수민씨는 미치지 않고서 이자리에 앉고 싶겠어요?
아유 수민씨는 미치지 않고서 이자리에 앉고 싶겠어요?,수민씨는 조사장이 예뻐라하니까 괜찮잖아. 자기가 이자리에 앉아.
수민씨는 조사장이 예뻐라하니까 괜찮잖아. 자기가 이자리에 앉아.,그러지 말고 라부장이 그자리에 앉아. 그러안해도 요즘 툭하면 지각에 하는일도 그냥 시원찮아 맘에 안들었는디 잘됐구만. 라부장이 그자리에 앉아.
그러지 말고 라부장이 그자리에 앉아. 그러안해도 요즘 툭하면 지각에 하는일도 그냥 시원찮아 맘에 안들었는디 잘됐구만. 라부장이 그자리에 앉아.,네
네,"말나온김에 앞으로 다들 정신 똑바로 차리고 일해야 될거여. 전엔 큰사장님이 건물주라 공짜로 있었지마는, 여기는 한달 월세가 자그만치 백이여. 긍께 대충 사무실서 시간이나 때우다가 월급타가는 그 뭐시여. 이 월급쿠팡같은 이사들은 더이상 안봐주것다 이말이여. 머여? 이 심각한 상황에 왜 웃는거여."
"말나온김에 앞으로 다들 정신 똑바로 차리고 일해야 될거여. 전엔 큰사장님이 건물주라 공짜로 있었지마는, 여기는 한달 월세가 자그만치 백이여. 긍께 대충 사무실서 시간이나 때우다가 월급타가는 그 뭐시여. 이 월급쿠팡같은 이사들은 더이상 안봐주것다 이말이여. 머여? 이 심각한 상황에 왜 웃는거여.","아 그,그게 월급쿠팡이 아니라 월급 루팡인데. 자 잘못.."
"아 그,그게 월급쿠팡이 아니라 월급 루팡인데. 자 잘못..",옘병. 그팡이나 저팡이나 엉덩짝 팡팡 쳐맞고 싶지 않으먼은 말꼬리 붙잡지 말고 언능 정리질이나 혀.
어디니? 다 왔어? 학교 다 왔어? 내려? 지금 내려?,"아직 멀었어. 아, 내가 너 두고 내리겠냐?"
"아직 멀었어. 아, 내가 너 두고 내리겠냐?","덕선아, 넌 어딨니. 내 목소리 들리니? 덕선아, 대답해, 덕선아!"
"덕선아, 넌 어딨니. 내 목소리 들리니? 덕선아, 대답해, 덕선아!",내 이름 부르지 마.
"뭐해, 라부장.","여기 어디 거래처 아는 사람 없나 하고. 아, 혹시 누구 돌 같은거 씹은 사람 없어?"
"여기 어디 거래처 아는 사람 없나 하고. 아, 혹시 누구 돌 같은거 씹은 사람 없어?",없는데요.
없는데요.,너무 맛있다.
너무 맛있다.,입에서 살살 녹네.
입에서 살살 녹네.,진짜 맛있어요. 많이 먹어야지.
진짜 맛있어요. 많이 먹어야지.,"야채 싸지 말고 고기만 먹어, 고기만."
"야채 싸지 말고 고기만 먹어, 고기만.",저기요. 여기론 사람 못 나가겠죠?
수현이 스키캠프 잘 도착했대요 어머니도 친구분들이랑 온천 여행 잘하세요 그럼 미리 메리 크리스마스에요 어머니,와 윤차장님 가족들 크리스마스 제대로 보내시는데요?
와 윤차장님 가족들 크리스마스 제대로 보내시는데요?,그러게 나만 빼고 다 행복해 김대리는 나랑 달리 가족과 함께 잖아 내일 뭐해?
그러게 나만 빼고 다 행복해 김대리는 나랑 달리 가족과 함께 잖아 내일 뭐해?,아무것도 안해요 작년 크리스마스 때 장인어른 쓰러지셨는데 그때 장모님이 충격이 크셨는지 트리도 못하게 하시고 집안 분위기 완전 절간이라규요
아무것도 안해요 작년 크리스마스 때 장인어른 쓰러지셨는데 그때 장모님이 충격이 크셨는지 트리도 못하게 하시고 집안 분위기 완전 절간이라규요,아 그랬지 크리스마스의 악몽도 아니고 큰일 겪었네
아 그랬지 크리스마스의 악몽도 아니고 큰일 겪었네,저 당한 일에 비하면 뭐 아무것도 아니네요 잊으셨어요? 저 작년 크리스마스 때 갈라선거?
저 당한 일에 비하면 뭐 아무것도 아니네요 잊으셨어요? 저 작년 크리스마스 때 갈라선거?,애도 있으신데 아예 연 끊고 사시는 거예요?
애도 있으신데 아예 연 끊고 사시는 거예요?,아 모르는구나? 친자식 아니었어요 그래서 전부인이 애 데리고 친아빠한테 간거고
아 모르는구나? 친자식 아니었어요 그래서 전부인이 애 데리고 친아빠한테 간거고,쓸데없는 걸 물어보고 그래
쓸데없는 걸 물어보고 그래,괜찮아요 다 지난 일인데요 뭐
아빠 밥 더 먹을래,아 니 엄마부터 좀 찾고 아 돼체 니 엄마 어딨는거냐규
아 니 엄마부터 좀 찾고 아 돼체 니 엄마 어딨는거냐규,어 엄마다!
어 엄마다!,니가 돈부터 내놔! 내놔 
니가 돈부터 내놔! 내놔 ,니가 먼저 벗어!
니가 먼저 벗어!,아 그럼 돈부터 내놔!
아 그럼 돈부터 내놔!,야 니가 먼저 벗으라고!
