Q,A
그냥 교회 간 것 뿐이 잖아,그치
그치,어떻게 얘기하지
어떻게 얘기하지,그냥 얘기하면 되지
그냥 얘기하면 되지,그치..? 그냥 얘기하면 되겠지 근데.. 그 날 한규 좀 이상하지 않았냐?.. 계속 집에 간다고
그치..? 그냥 얘기하면 되겠지 근데.. 그 날 한규 좀 이상하지 않았냐?.. 계속 집에 간다고,내일 가서 그냥 있는 그대로 얘기하면 돼. 우리가 잘 못한거 없잖아
야 야 일어나.. 점심먹자,아 안 먹어 
아 안 먹어 ,먹어
먹어,너 혼자 먹으라고 그냥
너 혼자 먹으라고 그냥,아 그래도 너희 엄마가 싸주신거잖아
아 그래도 너희 엄마가 싸주신거잖아,넌 그게 넘어가냐?..
넌 그게 넘어가냐?..,왜 안넘어가는데
왜 안넘어가는데,먹기싫다고 그냥 질린다고
먹기싫다고 그냥 질린다고,그럼 어떡하라고
그럼 어떡하라고,"그니까 왜 갖고와, 니가 갖고 왔잖아"
아니 먼저 가라니까 왜 안 갔어?,사장님 모시고 가려고 기다렸습니다
사장님 모시고 가려고 기다렸습니다,나는 카페 들러서 커피 사드리고 갈거야
나는 카페 들러서 커피 사드리고 갈거야,아니 뭐야 이건? 영애 차야?
아니 뭐야 이건? 영애 차야?,예 사장님 찹니다 제가 모시겠습니다
예 사장님 찹니다 제가 모시겠습니다,그래요? 어머 타 타자구 어머 차 진짜 좋다
그래요? 어머 타 타자구 어머 차 진짜 좋다,그러게
그러게,사장님 차라니 무슨 소리야?
사장님 차라니 무슨 소리야?,직원 아버지차야 왜 이렇게 오바를 하는지 좀 말릴까?
직원 아버지차야 왜 이렇게 오바를 하는지 좀 말릴까?,왜 냅둬 야 어때? 우리 영애찬데 좋지?
너 뭐야?,뭐가
뭐가,말을 왜 그렇게 해
말을 왜 그렇게 해,무슨말
무슨말,무슨 말? 니가 말 좆같이 했잖아
무슨 말? 니가 말 좆같이 했잖아,그게 사실이잖아
그게 사실이잖아,사실
사실,사실
사실,사실.. 그럼 나도 가서 말한다
사실.. 그럼 나도 가서 말한다,뭐
뭐,같이 가자 씨발 놔
같이 가자 씨발 놔,뭘.. 말하냐고
뭘.. 말하냐고,사실
사실,그러니까 뭐
그러니까 뭐,진짜 다 말했어
진짜 다 말했어,씨발새끼가 
"괜찮아? 하, 어째 점점 심해지냐. 내가 힘만 있었어도 진짜. 야 고개들어. 니가 뭘 잘못했다 그래. 그 새끼들이 쓰레긴거지. 나쁜새끼들.",넌 괜찮냐?
넌 괜찮냐?,난 너보단 덜 맞잖아. 아 그리고 이제 방학이야. 괜찮아. 너 방학 때 뭐할거야?
난 너보단 덜 맞잖아. 아 그리고 이제 방학이야. 괜찮아. 너 방학 때 뭐할거야?,별거없어.
별거없어.,놀러갈래? 날 잡아서?
놀러갈래? 날 잡아서?,어디루.
어디루.,"뭐, 해운대? 가서 맛있는 것도 먹고, 거기 여자들 다 비키니 입고 다녀. 야 기분도 꿀꿀한데 피방이나 가자. 운동 끝나고 연락해라. 형 오늘 학원 짼다."
"어 다 돌아봐도 없어? 그럼 어쩔 수 없지 뭐, 그냥 포기하고 들어오슈. 어",할아버지 터닝데카드 못구했대?
할아버지 터닝데카드 못구했대?,놀래라. 언제 그새 와서 다 듣고 있었네. 나영아 할아버지가 오늘은 못구했어도 내일은 꼭 구할 수 있대
놀래라. 언제 그새 와서 다 듣고 있었네. 나영아 할아버지가 오늘은 못구했어도 내일은 꼭 구할 수 있대,싫어 터닝데카드
싫어 터닝데카드,그놈의 장난감이 뭐라고 이 난리들이야
그놈의 장난감이 뭐라고 이 난리들이야,장모님 장모님! 떴어요 떴어 여기 떴어요
장모님 장모님! 떴어요 떴어 여기 떴어요,뭐가 떴다는거야
뭐가 떴다는거야,지마트에서 선착순 100명한테 터닝데카드 판다고 인터넷에 특별행사 공지가 떴다구요!
지마트에서 선착순 100명한테 터닝데카드 판다고 인터넷에 특별행사 공지가 떴다구요!,아 그 터닝 뭐시깽이 그거? 우리 나영이가 갖고 싶다는 그거 장난감 살 수 있다는 거야?
아 그 터닝 뭐시깽이 그거? 우리 나영이가 갖고 싶다는 그거 장난감 살 수 있다는 거야?,그렇다니까요! 나영아 고모부가 터닝데카드 사다줄게 알았지?
그렇다니까요! 나영아 고모부가 터닝데카드 사다줄게 알았지?,우와
우와,그러면 이러고 있지 말고 우리 빨리 갑세
그러면 이러고 있지 말고 우리 빨리 갑세,"거기가 어디라고 가세요, 오늘 사람 박터지게 모일텐데. 제가 혼자 후딱 가서 구해오겠습니다"
