Q,A
우리 샤방샤방 선호야! 너도 한 곡 뽑아봐.,저는 아는 노래가 별로 없는데.
저는 아는 노래가 별로 없는데.,"으이구, 없어도 있게 만들어야지! 아니 막내가 돼가지고 분위기 띄울 생각은 안하고. 제가 한 번 해보겠습니다!"
"으이구, 없어도 있게 만들어야지! 아니 막내가 돼가지고 분위기 띄울 생각은 안하고. 제가 한 번 해보겠습니다!","어, 그래, 그래."
"어, 그래, 그래.",잘 봐라.
아 김서방도 있는데 왜 늙은 나 시키고 그래.,그래 엄마. 오빠 불러올게 내가 지금.
그래 엄마. 오빠 불러올게 내가 지금.,야야야 김서방 공부하잖아. 아이고 좀 당신이 좀 갔다 오셔. 맨날 구들장만 지지고 앉아있지만 말고.
78이면 나이가 꽤 되시네요,아 구인광고에는 나이제한이 없길래
아 구인광고에는 나이제한이 없길래,어 그렇긴 한데 설마 저보다 나이 많은 분이 올준 몰랐어요
어 그렇긴 한데 설마 저보다 나이 많은 분이 올준 몰랐어요,제가 나이가 많은 만큼 경력이 꽤 돼요 그 동네 전단지부터 전국 축제행사 관공서 일까지 안해본게 없구요 지금도 프리랜서로 고깃집 체인점일까지 제가 도맡아서
제가 나이가 많은 만큼 경력이 꽤 돼요 그 동네 전단지부터 전국 축제행사 관공서 일까지 안해본게 없구요 지금도 프리랜서로 고깃집 체인점일까지 제가 도맡아서,알았어요 연락 드릴게요
알았어요 연락 드릴게요,예
이 나이에 시집 못가고 면접보러 다니는게 죄냐? 이렇게 버릴거면 연락 한단 소릴 말든가 나이 많은 사람 오는게 싫으면 나이 제한을 확실하게 적어 놓든가!,아 근데 어따대고 반말이야?
아 근데 어따대고 반말이야?,너야말로 어따대고 반말이야? 나이도 어린게 확 그냥!
아휴... 그냥 놔뒀으면 3억을 벌었는데 달랑 3천에 팔았으니 이 일을 어떡하면 좋나? 이 일을!,아휴... 마 마 마 말도 안 돼. 어떻게 여기에 다리가 생기냐?
아휴... 마 마 마 말도 안 돼. 어떻게 여기에 다리가 생기냐?,그러게 내가 팔지 말랬잖아. 내가 응?! 아이고 그렇게 잘 아는 사람처럼 팔자고 우겨대더니만 꼴 좋다. 꼴 좋아!
그러게 내가 팔지 말랬잖아. 내가 응?! 아이고 그렇게 잘 아는 사람처럼 팔자고 우겨대더니만 꼴 좋다. 꼴 좋아!,죄송합니다. 아 저 혹시 이거 장모님도 아시는 거예요?
죄송합니다. 아 저 혹시 이거 장모님도 아시는 거예요?,아니 알았으면? 알았으면 가만히 있었겠나? 바로 미쳐서 날뛰겠지.
아니 알았으면? 알았으면 가만히 있었겠나? 바로 미쳐서 날뛰겠지.,아이.. 저 저 어떡해요 장인어른?
아이.. 저 저 어떡해요 장인어른?,아 뭘 어떡해?! 절대 비밀로 해야지. 다행히 자네 장모 신문이나 뉴스 같은 거 잘 안 보는 인사니 그냥 우리 둘이 입만 다물고 있으면 그냥 모르고 지나갈 수도 있어.
아 뭘 어떡해?! 절대 비밀로 해야지. 다행히 자네 장모 신문이나 뉴스 같은 거 잘 안 보는 인사니 그냥 우리 둘이 입만 다물고 있으면 그냥 모르고 지나갈 수도 있어.,가... 감사합니다.
"덕화씨, 애 낳을 때 지순씨랑 연락 안 돼서 힘들지 않았어요?","힘들었죠. 그리고 1년동안이나 생사도 모르고 살았는데, 절 잊은 건 아닌지, 행여나 저랑 우리 하연이 모르는 척하는 건 아닌지 걱정도 했고."
"힘들었죠. 그리고 1년동안이나 생사도 모르고 살았는데, 절 잊은 건 아닌지, 행여나 저랑 우리 하연이 모르는 척하는 건 아닌지 걱정도 했고.","아이, 모르는 척 하다니. 남자가 책임질 일 했으면 책임져야지."
"아이, 모르는 척 하다니. 남자가 책임질 일 했으면 책임져야지.",남자가 책임질 일이 어디까진데요? 키스는 아닌 거죠?
남자가 책임질 일이 어디까진데요? 키스는 아닌 거죠?,"아니, 왜 이래? 벌써 취했니?"
"아니, 왜 이래? 벌써 취했니?",근데 제수씨는 정대리 어디가 좋았어요?
근데 제수씨는 정대리 어디가 좋았어요?,제가 원빈을 좋아해서요. 우리 지순씨 원빈이랑 닮았잖아요.
제가 원빈을 좋아해서요. 우리 지순씨 원빈이랑 닮았잖아요.,"아이, 또 그 소리야. 하지마."
"아이, 또 그 소리야. 하지마.",전 지순씨가 머리 빗어 넘길 때마다  깜짝 놀라요. 영화 아저씨에서 바리깡 밀던 원빈이랑 비슷해서.
전 지순씨가 머리 빗어 넘길 때마다  깜짝 놀라요. 영화 아저씨에서 바리깡 밀던 원빈이랑 비슷해서.,제가 잘못 들은 거죠? 바리깡 밀던 원빈이랑 비슷한 게 아니라 원빈이 밀던 바리깡이랑 비슷하단 소리죠?
제가 잘못 들은 거죠? 바리깡 밀던 원빈이랑 비슷한 게 아니라 원빈이 밀던 바리깡이랑 비슷하단 소리죠?,"아이, 센스쟁이."
"아이, 센스쟁이.",왜 그러세요? 이 세상 그 누가 뭐라해도 제 눈엔 원빈이에요. 우리 지순씨.
왜 그러세요? 이 세상 그 누가 뭐라해도 제 눈엔 원빈이에요. 우리 지순씨.,"아이, 하지 말라니까. 아, 나 또 오 유캔 텔미 와이. 잉. 난 오늘만 산다. 똑같죠?"
"아이, 하지 말라니까. 아, 나 또 오 유캔 텔미 와이. 잉. 난 오늘만 산다. 똑같죠?",보세요. 완전 똑같잖아요.
보세요. 완전 똑같잖아요.,"내 눈엔 자기도 이나영이야. 원빈, 이나영. 결혼식도 우리랑 되게 비슷하게 했더라고요. 예물, 예단, 아무것도 없이 소박하게."
"내 눈엔 자기도 이나영이야. 원빈, 이나영. 결혼식도 우리랑 되게 비슷하게 했더라고요. 예물, 예단, 아무것도 없이 소박하게.",정대리님은 소박이 아니라 궁상.
정대리님은 소박이 아니라 궁상.,"자, 원빈 이나영 커플의 행복을 기원하는 의미에서 건배!"
민정아 감자,네!
네!,민정아 포장 좀!
민정아 포장 좀!,네!
선생님!,응
응,"죄송한데 다음주 토요일 수업, 금요일에 할 수 있을까요?"
"죄송한데 다음주 토요일 수업, 금요일에 할 수 있을까요?",왜?
왜?,제가 일이 좀 생겨서요
제가 일이 좀 생겨서요,나도 일이 있어서 좀 어려울 것 같은데
들어가세요,별일 없지?
별일 없지?,네
네,수고해
수고해,안녕히 가세요
안녕하세요,다음부터 늦지마
다음부터 늦지마,죄송합니다
"여기선, 자 봐봐. 로그 에이, 비는 씨에이, 씨비. 이렇게 해야돼.","아 맞다. 들으면 알겠는데, 자꾸 여기서 틀려요."
"아 맞다. 들으면 알겠는데, 자꾸 여기서 틀려요.",뭐 안 틀릴때까지 계속 풀어보고. 더 열심히 해야지.
뭐 안 틀릴때까지 계속 풀어보고. 더 열심히 해야지.,넵
과외비요!,응. 그래.
응. 그래.,틀린거 다시 풀어보고.
틀린거 다시 풀어보고.,네
수고하세요,민철씨 혹시 금요일 야간 대타 좀 서줄 수 있어요?
민철씨 혹시 금요일 야간 대타 좀 서줄 수 있어요?,금요일이요?
금요일이요?,네
네,"예. 뭐, 알겠어요."
"예. 뭐, 알겠어요.",고마워요. 대신 다른 날 제가 할게요.
고마워요. 대신 다른 날 제가 할게요.,예. 수고하세요.
예. 수고하세요.,들어가세요
어 왔어?,한성 발표났던데.
한성 발표났던데.,난 떨어졌어.
난 떨어졌어.,미안. 난 당연히 된줄 알고.
미안. 난 당연히 된줄 알고.,아니야. 축하해. 
아니야. 축하해. ,어. 발표 준비는 잘 되가?
어. 발표 준비는 잘 되가?,응. 그냥 뭐. 먼저 갈게. 일이 있어서.
저 선생님.,응?
응?,저번에 금요일로 바꾸는거요.
저번에 금요일로 바꾸는거요.,"아, 그거."
"아, 그거.",선생님이 바꿔주시는게 맞는 것 같아요
선생님이 바꿔주시는게 맞는 것 같아요,"어, 왜?"
"어, 왜?",그래도 제가 돈 내고 하는건데. 선생님이 바꿔주시는게 맞는 것 같아요.
그래도 제가 돈 내고 하는건데. 선생님이 바꿔주시는게 맞는 것 같아요.,그게 무슨 말이야?
그게 무슨 말이야?,저는 안되니까 바꿔주세요.
저는 안되니까 바꿔주세요.,너 말대로 선생님이 바꿔줄 수 있는데. 돈이랑 상관없어. 돈 때문이 아니야.
너 말대로 선생님이 바꿔줄 수 있는데. 돈이랑 상관없어. 돈 때문이 아니야.,그럼요? 
민정아. 그렇게 생각 안했으면 좋겠어. 그리고 이런식으로 이야기하는거 아니야.,죄송합니다.
죄송합니다.,우선 이번에는 금요일에 하는걸로 하자. 문제 풀어.
우선 이번에는 금요일에 하는걸로 하자. 문제 풀어.,네
"시선을 골고루 보내야 자신감도 있어보이고, 커뮤니케이션에 적극성도 느껴지고. 호소력도 있잖아요.",그리고 그 모르는 질문하고 아는 질문에 대한 격차가 너무 크신것같아요. 그니까 모르는게 나왔을때 티가 너무 많이 나서. 그거 실제 면접장에서는 그렇게 한 번 버벅거리면은 다시는 질문 안하거든요.
그리고 그 모르는 질문하고 아는 질문에 대한 격차가 너무 크신것같아요. 그니까 모르는게 나왔을때 티가 너무 많이 나서. 그거 실제 면접장에서는 그렇게 한 번 버벅거리면은 다시는 질문 안하거든요.,"내용면에 있어서, 그 사안에 대해 좀 더 체계적으로 접근 하시면 좋을것 같아요. 지금은 한가지 측면에서만 접근해서 조금 미흡하지 않았나 그런 생각이 듭니다."
"내용면에 있어서, 그 사안에 대해 좀 더 체계적으로 접근 하시면 좋을것 같아요. 지금은 한가지 측면에서만 접근해서 조금 미흡하지 않았나 그런 생각이 듭니다.",그래도 주제선정은 굉장히 괜찮았어요. 근데 조금만 더 자신감을 갖고 하면 더 좋을 것 같아요. 네. 여기까지 하죠. 승택씨 수고하셨고요. 월요일에는 소영씨가 발표할 차례 맞죠?
그래도 주제선정은 굉장히 괜찮았어요. 근데 조금만 더 자신감을 갖고 하면 더 좋을 것 같아요. 네. 여기까지 하죠. 승택씨 수고하셨고요. 월요일에는 소영씨가 발표할 차례 맞죠?,네
네,네 그러면 그 주제 선정해서 카페에 공유해주시고요
네 그러면 그 주제 선정해서 카페에 공유해주시고요,네
네,오늘은 뭐 여기까지 하겠습니다.
오늘은 뭐 여기까지 하겠습니다.,수고하셨습니다
민정아 다음주 주말에 좀 나와줄 수 있어?,예?
예?,일 있어? 학원?
일 있어? 학원?,아니요 그
아니요 그,그럼 좀 도와줘
그럼 좀 도와줘,네
소영씨 저 금요일에 안될거 같아요.,"어, 된다고 하셨잖아요."
"어, 된다고 하셨잖아요.",다음날 면접이 잡혀서요. 미안해요. 먼저 가볼게요.
민철이는?,물어봤어요
물어봤어요,근데 왜?
근데 왜?,갑자기 일이 생겨서요.
갑자기 일이 생겨서요.,"그럼 일요일 야간하고, 월요일 저녁 다해. 대신 야간 시급은 없어."
"그럼 일요일 야간하고, 월요일 저녁 다해. 대신 야간 시급은 없어.",월요일 저녁은 제가 안되는데.
월요일 저녁은 제가 안되는데.,적당히 하자. 갑자기 바꾸는 것부터가 무리인거잖아.
"어, 안녕하세요.","아, 네."
"아, 네.","사장님, 사장님. 저 사람이에요. 김산호. 아, 봐도봐도 괜찮은데 대체 왜 헤어졌나 몰라. 그냥 잘 돼서 시집가으면 좋았을 텐데. 안 그래요, 사장님?"
